Hello  i was wondering if you can tell me where a good restaurant is to book ,request
Sure  How many people are in your party ,request
Success  Your reservation has been confirmed  Please enjoy your meal ,inform
Great  What city are you dining in ,request
What is the price range of The Rock Wood Fired Pizza ,request
Good deal  Please reserve the spot at The Rock Wood  around noon ,request
What resturants are open ,request
What is your location ,request
I m happy to assist you  What city are you dining in ,request
I m happy to assist you  Do you have a specific restaurant or cuisine in mind ,inform
american please,inform
What City and State would you like me to look ,request
new orleans louisiana would be great,inform
What date would you like me to look ,request
I m happy to assist you  How many guests are in your party ,request
What time would you like your reservation for ,request
Looking for a riverboat with dinner in wilmington  nc,request
When would you like to go ,request
saturday afternoon,inform
How many people will be going ,request
What time would you like to book ,request
I would like to find and book for a Vegan bistro in San francisco for lunch,request
Hello  What day would you like you reservation ,request
Great  what time would you like to go to lunch ,request
around 1 pm,inform
I m happy to assist you  How many guests are in your party ,request
North India restaurant would be perfect,inform
Your reservation has been confirmed  Please enjoy your meal  and thank you for using our service ,inform
Success  Your reservation has been confirmed  Please enjoy your meal ,inform
looking for a family restaurant in wilmington  nc for 5 on friday night at 7pm,request
Port Land Grille,inform
I have successfully completed your reservation for Port Land Grille on Friday night at 7pm  Enjoy ,inform
reserve a table tuesday at 8pm for 4 people at a bistro like place,request
What City and State would you like me to look ,request
wilmington  nc,inform
What name would you like to book the reservation under ,request
Mturk Crowd,inform
I ve found Bistro Cacao  Bistrot Lepic and Wine Bar  and La Piquette for you to choose ,inform
Bistro Cacao,inform
Angelo s Pizzeria   Bistro,inform
Your reservation is confirmed  Please enjoy your meal  and thank you for using our service ,inform
looking for a clown themed restaurant in north or south carolina along the coast,request
I m happy to assist you  Do you have a specific restaurant or cuisine in mind ,request
When would you like to go ,request
How many are going ,request
What time would you like to go ,request
mouse themed,inform
I would like to book a table at a 5 star Seafood restaurant in San Fransico,request
What date would you like a reservation ,request
What time would you like the reservation ,request
8 PM for 2 adults,inform
I ve confirmed your reservation for Alamo Square Seafood Grill  enjoy your meal ,inform
Can you find me a place that has great ambiance for tomorrow night around 7pm  This is for Miami,request
I sure can  how may people will be going ,request
Just two people but 2 may join us later,inform
Let s go with Yardbird Southern Table,inform
I guess the 5 15 would work  thanks for being so helpful ,inform
I have booked your reservation for 5 15 PM at Yardbird  Thank you and enjoy your dinner ,inform
I have successfully booked your reservation  Enjoy ,inform
is there a western themed restaurant in wilmington  nc ,request
yes what are the options,confirm_answer
Great  And what day would you like to go ,request
How many are going ,request
What time would you like me to search for ,request
What name would you like your reservation under ,request
There are two options  The Little Dipper and The Melting Pot  Which would you like to book ,inform
The Melting Pot,inform
Success  I have booked a table for 4 at The Melting Pot on 3 16 at 6PM ,inform
I would like to make a reservation at an authentic Indian restaurant in Washinton DC,request
Great  What date and time would you like to go ,request
Thanks  How many guests will you have  Also  do you have a time in mind on the 16th ,request
4 adults and around 8 pm would be great,inform
yes Cafe of India sound perfect,inform
Great  your reservation at Cafe of India is confirmed ,inform
any cuban restaurants in wilmington for saturday night,request
How many guests would you like ,request
What time would you like me to search for ,request
Your table for one has been reserved  Mr  Calombaris  Enjoy ,inform
where is the hardees located by the charlie fulton airport,request
I m happy to assist you  What city are you dining in ,request
where is the restaurant maggianos,request
What city are you located in ,request
What is the most expensive restaurant in Seattle,request
I m happy to assist you  Do you have a specific restaurant or cuisine in mind ,request
What time and date would you like your reservation for ,request
March 21st at 7PM,inform
How many people are in your party ,request
What name would you like to reserve under ,request
 Aqua by El Gaucho,inform
Success  Your reservation has been confirmed  please enjoy your meal ,inform
Hello  I m here to help you book a restaurant reservation  Can I help you with that today ,greeting
Hi I d like a table for 3 at a restaurant with a great salad bar,request
I d like to book Beer Park please,inform
Your reservation has been confirmed  Please enjoy your meal  and thank you for using our service ,inform
Success  Your reservation has been confirmed  Please enjoy your meal ,inform
What name would you like to book the reservation under ,request
I have successfully completed your reservation  Enjoy ,inform
reserve a table monday at 6pm for 4 people at a indian buffet in wilmington  nc,request
asian fusion,inform
Yo Sake Downtown Sushi Lounge is an Asian restaurant with available tables  Would you like to book ,inform
thats sounds devine  please book that,confirm_answer
Can you find me a vegan restaurant with wheelchair access in Berkeley  CA,request
I m happy to assist you  What time and date would you like your reservation for ,request
Next Tuesday  between 6pm and 7pm,inform
How many guests are in your party ,request
I would suggest Cha Ya  Herbivore  or Sanctuary Bistro  Would you like to book one of these ,inform
Sanctuary Bistro,inform
Let s try Millennium ,inform
Yes  book that pls,confirm_answer
Success  Your reservation has been confirmed  please enjoy your meal ,inform
Success  Your reservation has been confirmed  Please enjoy your meal ,inform
Hi there  what time does your restaurant open ,request
Greetings  To what restaurant are you referring ,request
Hey there  I want an exotic restaurant in Chicago  Can you help ,request
Sure  What date and time ,request
Saturday at 6pm  There will be 2 of us,inform
Your reservation was confirmed  enjoy your meal at Analogue on Saturday at 6PM ,inform
I have successfully completed your reservation  Enjoy your meal ,inform
Hello  i was wondering if you can tell me where a good restaurant is to book ,request
What City and State would you like me to look ,request
How many guests are going and what time would you prefer ,request
4 people  7 00,inform
Fugakyu  please,inform
Great  Your reservation at Fugakyu at 7 00PM on 3 12 2016 is confirmed ,inform
What name would you like to book the reservation under ,request
Your reservation has been confirmed  Please enjoy your meal  and thank you for using our service ,inform
I need a cheap food place for 3 people tomorrow at 1pm in Seattle,request
yes how about Telio please ,inform
Your reservation has been confirmed  Please enjoy your meal  and thank you for using our service ,inform
I d love to help you with that  How many will be dining ,request
I m happy to assist you  Do you have a specific restaurant or cuisine in mind ,request
american please,inform
dal rae please,inform
Your reservation is confirmed  Please enjoy your meal  and thank you for using our service ,inform
Can you recommend a nice French place in Dallas  TX  For Saturday from 6pm to 8pm,request
Sure  I ll try Le Bilboquet  There will be two of us,inform
I have successfully booked your reservation to Le Bilboquet at 6pm on Saturday  Enjoy ,inform
reserve a table for 4 at an oyster bar in wilmington  nc on saturday at 8pm,request
What name would you like to book the reservation under ,request
Blurry face,inform
Success  Your reservation has been confirmed  please enjoy your meal ,inform
Hi  would you like to make a restaurant reservation ,greeting
It will be in Las Vegas  6 PM and today March 9th ,inform
And how many people will be dining ,request
Wing Lei please,inform
Your reservation has been confirmed  Please enjoy your meal  and thank you for using our service ,inform
where is the bay breeze located,request
What city are you located in ,request
Your reservation has been confirmed  Please enjoy your meal  and thank you for using our service ,inform
can you recommend a good pizza place in Saint Louis ,request
What date would you like me to look ,request
this saturday  early evening,inform
I m happy to assist you  How many people are in your party ,request
Central Table is the only restaurant with the availability you requested  Would you like to book ,inform
yes  the name is Anna Moos,inform
I ve booked your reservation at Central Table under Anna Moos  enjoy your meal ,inform
